"nazwa","ogolem","towary i uslugi konsumpcyjne","zywnosc i napoje bezalkoholowe","napoje alkoholowe i wyroby tytoniowe","odziez i obuwie","uzytkowanie mieszkania lub domu i nosniki energii","wyposazenie mieszkania i prowadzenie gospodarstwa domowego","zdrowie","transport","lacznosc","rekreacja i kultura","edukacja","restauracje i hotele","pozostale wydatki na towary i uslugi"
"DOLNOSLASKIE","2446.08","1231.36","300.18","32.92","60.49","235.24","84.38","60.44","133.79","52.29","90.44","13.06","72.20","79.29"
"KUJAWSKO-POMORSKIE","2188.53","1103.16","299.10","31.21","57.64","211.67","65.49","56.15","125.49","52.60","66.16","9.06","41.51","69.29"
"LUBELSKIE","2052.11","1031.16","283.63","23.27","57.48","168.18","64.09","55.88","122.56","46.54","65.13","8.18","50.76","75.25"
"LUBUSKIE","2197.00","1108.37","292.85","33.34","48.70","229.35","70.38","50.74","120.49","48.51","72.70","12.36","47.59","61.62"
"LODZKIE","2307.07","1168.40","293.89","28.60","65.64","219.42","65.47","68.85","117.84","49.48","74.97","9.05","64.12","81.34"
"MALOPOLSKIE","1957.15","987.62","273.47","23.57","46.83","213.41","50.23","49.38","94.94","38.34","58.48","9.87","55.53","55.48"
"MAZOWIECKIE","2694.06","1357.17","306.78","34.15","72.30","237.85","83.14","75.72","171.30","47.07","110.82","14.38","91.42","91.96"
"OPOLSKIE","2209.10","1124.74","288.52","33.22","47.76","192.23","60.90","57.54","108.17","47.18","77.36","9.20","74.12","88.16"
"PODKARPACKIE","1827.50","925.94","276.83","20.77","50.07","162.99","59.64","46.77","98.31","38.87","51.71","6.25","32.26","57.09"
"PODLASKIE","2036.85","1019.99","303.41","24.78","59.61","175.64","64.74","45.14","130.09","45.01","53.63","7.70","44.23","62.88"
"POMORSKIE","2447.49","1233.30","317.79","38.31","65.92","233.19","67.03","68.84","134.53","58.16","81.44","15.50","55.99","77.49"
"SLASKIE","2423.96","1223.35","305.50","34.42","59.08","250.00","72.58","64.96","139.24","48.56","94.22","10.37","49.81","71.87"
"SWIETOKRZYSKIE","2060.52","1030.85","298.18","23.01","58.92","199.26","76.93","56.21","107.91","34.63","55.51","7.45","46.28","65.38"
"WARMINSKO-MAZURSKIE","1880.04","940.33","274.61","25.89","50.35","197.04","58.46","45.38","82.56","45.13","53.50","9.52","40.77","56.50"
"WIELKOPOLSKIE","2009.83","1017.71","274.82","24.98","50.99","209.25","49.29","51.80","98.80","49.27","62.23","11.24","52.51","56.94"
"ZACHODNIOPOMORSKIE","2348.24","1189.08","317.91","31.48","59.19","240.66","65.02","53.78","104.71","57.45","74.20","11.59","65.71","77.46"
